role,source_path,bytes,sha256,diagnostic_subproblem,represents_intended_all80_layer5_state_supply,performance_authorized,P3_2_outcome_read_authorized,Top3_authorized,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage,future_data_violation_count
local_official_raw_reuse,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_raw_hlc_warmup_gap_fill_20260711\compact\raw_hlc_warmup\2026.csv.gz,840199,7f4601220840c19db9a5ae1cf506d092d1b286b56468f989e065ff0960422421,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
local_official_raw_reuse,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_full_feature_source_scope_repair_20260711\compact\price\2023.csv.gz,250602,c960bdf5f7099c7141ab220390ac6c5e2bb094cc8a03923c610ee2fd5a99908f,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
local_official_raw_reuse,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_full_feature_source_scope_repair_20260711\compact\price\2024.csv.gz,529668,2aeadf34078a1a0945ed004a141a17bddeb38878227f7977797b0038d574fe8f,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
local_official_raw_reuse,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_full_feature_source_scope_repair_20260711\compact\price\2025.csv.gz,527966,72c13cdc4778e300cd385ef57df7d1a90497dd85d3e00f08e9e1a20513683e27,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
local_official_raw_reuse,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_exact_primary80_full_feature_source_scope_repair_20260711\compact\price\2026.csv.gz,260976,ed0570cbb7db718941f514ab5c6ab323675d2b230db05e34ec92d4a66a260d50,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
local_official_raw_reuse,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TPEx\2022.csv.gz,677836,d69d3e461b7b37e6e0eddc73f63e4edd269fe92f158cd238d8a826cdad33695d,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
local_official_raw_reuse,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p1_full_lifecycle_minimum_data_acquisition_20260710\compact\official_raw_execution_ohlcv\TWSE\2022.csv.gz,1629776,a9b596ec806e74fa22f091b6cebc38e54fac3c390d84e633f4372651e4b62752,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
local_trusted_factor_reuse,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_recent_full_feature_data_readiness_acquisition_20260711\compact\adjusted\2022.csv.gz,7126651,adc04a054f1399a7a403c4a2f1fdd32a8992c4b9c343f2c062ab24f6e6f281d5,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
local_trusted_factor_reuse,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_recent_full_feature_data_readiness_acquisition_20260711\compact\adjusted\2023.csv.gz,13862023,fe1dfc3fd024ab1811df4badb4ade89911f1ed98a55daa2f4029a844e535623b,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
local_trusted_factor_reuse,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_recent_full_feature_data_readiness_acquisition_20260711\compact\adjusted\2024.csv.gz,14026780,73ae5b4771d7f55a8f962b846992173f5e93db835932cc8ff4ce83a0a0c66dae,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
local_trusted_factor_reuse,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_recent_full_feature_data_readiness_acquisition_20260711\compact\adjusted\2025.csv.gz,13802215,a2a92d54dc4d3b59e6fa31330ca732d7a568b8b9ba70ffe0c10dbbabd1141cfc,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
local_trusted_factor_reuse,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_recent_full_feature_data_readiness_acquisition_20260711\compact\adjusted\2026.csv.gz,6735126,5db9cb59429c9d5972eeebf9a97f74735186354334fb82e028029f934688e2ae,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
local_direct_adjusted_hlc_reuse,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_layer04_rank1_sequential_lifecycle_adjusted_hlc_factor_source_package_20260713\rank1_adjusted_analysis_hlc_factor_compact.csv.gz,8987637,7d6bb5d424f5c2ed6113c87cd7c68c8bdf07777fb184627ce6a7ee233f9e6967,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
local_direct_adjusted_hlc_reuse,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_ridge_shadow_current_layer1_4_bounded_delta_fill_20260712\ridge_shadow_current_adjusted_analysis_ohlc_factor_rows.csv.gz,3080100,8c552269d186debafb9de4563d4ec8b0aa2ffe4b7a2a624d66dea736130d9b71,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
official_listing_applicability_evidence,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_dynamic_pool1_listing_master_completion_20260703\accepted_listing_metadata_rows.csv,105647,c289ede8248e3fe1ac74cec62e01f08d774d183e9ddaca77b93b55808e2600d8,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0
