symbol,name,theme,fundamental_status,fundamental_unavailable_reason
2317,鴻海,AI伺服器/ODM,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2301,光寶科,AI伺服器/ODM,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3017,奇鋐,散熱,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3324,雙鴻,散熱,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
6230,尼得科超眾,散熱,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2421,建準,散熱,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3653,健策,散熱,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3483,力致,散熱,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3338,泰碩,散熱,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2308,台達電,電源/BBU,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2301,光寶科,電源/BBU,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
6412,群電,電源/BBU,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3015,全漢,電源/BBU,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2457,飛宏,電源/BBU,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
4931,新盛力,電源/BBU,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3211,順達,電源/BBU,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3323,加百裕,電源/BBU,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
1513,中興電,重電/電網,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
1519,華城,重電/電網,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
1504,東元,重電/電網,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
1605,華新,重電/電網,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
1609,大亞,重電/電網,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
1514,亞力,重電/電網,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
1618,合機,重電/電網,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
6806,森崴能源,重電/電網,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2049,上銀,機器人/自動化,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
1590,亞德客-KY,機器人/自動化,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2359,所羅門,機器人/自動化,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2464,盟立,機器人/自動化,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2308,台達電,機器人/自動化,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
4576,大銀微系統,機器人/自動化,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
6166,凌華,機器人/自動化,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3443,創意,ASIC/IP,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3661,世芯-KY,ASIC/IP,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3035,智原,ASIC/IP,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
6531,愛普*,ASIC/IP,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3529,力旺,ASIC/IP,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
5274,信驊,ASIC/IP,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2454,聯發科,ASIC/IP,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2379,瑞昱,ASIC/IP,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3711,日月光投控,封測/CoWoS,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2449,京元電子,封測/CoWoS,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
6239,力成,封測/CoWoS,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
6257,矽格,封測/CoWoS,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3264,欣銓,封測/CoWoS,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
6510,精測,封測/CoWoS,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
6223,旺矽,封測/CoWoS,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
6147,頎邦,封測/CoWoS,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3131,弘塑,半導體設備/耗材,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3583,辛耘,半導體設備/耗材,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
6187,萬潤,半導體設備/耗材,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2467,志聖,半導體設備/耗材,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3413,京鼎,半導體設備/耗材,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
5434,崇越,半導體設備/耗材,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
4768,晶呈科技,半導體設備/耗材,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2634,漢翔,軍工/無人機,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2208,台船,軍工/無人機,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
8033,雷虎,軍工/無人機,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
4572,駐龍,軍工/無人機,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
4916,事欣科,軍工/無人機,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
1536,和大,車用電子,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2231,為升,車用電子,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3665,貿聯-KY,車用電子,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
6279,胡連,車用電子,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3552,同致,車用電子,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2497,怡利電,車用電子,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2308,台達電,車用電子,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2347,聯強,電子通路,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3702,大聯大,電子通路,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3036,文曄,電子通路,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3010,華立,電子通路,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3023,信邦,電子通路,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2603,長榮,航運,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2609,陽明,航運,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2615,萬海,航運,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2618,長榮航,航運,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2610,華航,航運,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2606,裕民,航運,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2605,新興,航運,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2881,富邦金,金融,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2882,國泰金,金融,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2884,玉山金,金融,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2885,元大金,金融,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2886,兆豐金,金融,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2891,中信金,金融,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2892,第一金,金融,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2880,華南金,金融,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
5876,上海商銀,金融,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
1301,台塑,塑化,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
1303,南亞,塑化,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
1326,台化,塑化,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
6505,台塑化,塑化,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
1314,中石化,塑化,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
1304,台聚,塑化,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
6446,藥華藥,生技醫療,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
4743,合一,生技醫療,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
1795,美時,生技醫療,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
1760,寶齡富錦,生技醫療,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
4162,智擎,生技醫療,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
4123,晟德,生技醫療,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2707,晶華,觀光餐飲,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2727,王品,觀光餐飲,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2731,雄獅,觀光餐飲,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2748,雲品,觀光餐飲,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2753,八方雲集,觀光餐飲,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2723,美食-KY,觀光餐飲,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
2739,寒舍,觀光餐飲,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
6443,元晶,綠能/儲能,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
6244,茂迪,綠能/儲能,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3576,聯合再生,綠能/儲能,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
3708,上緯投控,綠能/儲能,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
6806,森崴能源,綠能/儲能,baseline_only_not_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
4931,新盛力,綠能/儲能,missing_baseline_and_point_in_time,No point-in-time financial announcement/acquisition-date table is available.
