symbol,ticker,exchange,name,theme,role,gap_reason,required_evidence,needs_manual_review,research_only_fallback,checked_at
2367,2367.TW,TWSE,燿華,PCB/載板,PCB,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
2368,2368.TW,TWSE,金像電,PCB/載板,AI 伺服器 PCB,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
2376,2376.TW,TWSE,技嘉,AI伺服器/ODM,伺服器主機板/GPU 板卡,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
2379,2379.TW,TWSE,瑞昱,ASIC/IP,通訊 IC,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
2382,2382.TW,TWSE,廣達,AI伺服器/ODM,AI 伺服器 ODM,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
2383,2383.TW,TWSE,台光電,PCB/載板,CCL,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
2454,2454.TW,TWSE,聯發科,ASIC/IP,IC 設計,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
2457,2457.TW,TWSE,飛宏,電源/BBU,電源供應器,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
2464,2464.TW,TWSE,盟立,機器人/自動化,自動化設備,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
2497,2497.TW,TWSE,怡利電,車用電子,車載電子,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
3015,3015.TW,TWSE,全漢,電源/BBU,電源供應器,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
3035,3035.TW,TWSE,智原,ASIC/IP,ASIC/IP,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
3037,3037.TW,TWSE,欣興,PCB/載板,ABF 載板/PCB,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
3044,3044.TW,TWSE,健鼎,PCB/載板,PCB,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
3081,3081.TWO,TPEx,聯亞,CPO/矽光子,光通訊磊晶,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
3163,3163.TWO,TPEx,波若威,CPO/矽光子,光通訊/CPO,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
3189,3189.TW,TWSE,景碩,PCB/載板,IC 載板,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
3211,3211.TWO,TPEx,順達,電源/BBU,電池模組,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
3231,3231.TW,TWSE,緯創,AI伺服器/ODM,AI 伺服器 ODM,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
3234,3234.TWO,TPEx,光環,CPO/矽光子,光通訊元件,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
3323,3323.TWO,TPEx,加百裕,電源/BBU,電池模組,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
3363,3363.TWO,TPEx,上詮,CPO/矽光子,光纖元件,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
3443,3443.TW,TWSE,創意,ASIC/IP,ASIC 設計服務,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
3450,3450.TW,TWSE,聯鈞,CPO/矽光子,光通訊元件,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
3529,3529.TWO,TPEx,力旺,ASIC/IP,矽智財,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
3552,3552.TWO,TPEx,同致,車用電子,車用感測,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
3661,3661.TW,TWSE,世芯-KY,ASIC/IP,ASIC 設計服務,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
3665,3665.TW,TWSE,貿聯-KY,車用電子,車用/高速連接線,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
4576,4576.TW,TWSE,大銀微系統,機器人/自動化,線性傳動,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
4908,4908.TWO,TPEx,前鼎,CPO/矽光子,光通訊模組,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
4931,4931.TWO,TPEx,新盛力,電源/BBU,電池模組/BBU,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
4958,4958.TW,TWSE,臻鼎-KY,PCB/載板,PCB,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
4977,4977.TW,TWSE,眾達-KY,CPO/矽光子,光收發模組,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
4979,4979.TWO,TPEx,華星光,CPO/矽光子,光通訊模組,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
5274,5274.TWO,TPEx,信驊,ASIC/IP,伺服器管理 IC,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
5439,5439.TWO,TPEx,高技,PCB/載板,PCB,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
6166,6166.TW,TWSE,凌華,機器人/自動化,工業電腦/控制,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
6213,6213.TW,TWSE,聯茂,PCB/載板,CCL,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
6274,6274.TWO,TPEx,台燿,PCB/載板,CCL,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
6279,6279.TWO,TPEx,胡連,車用電子,車用連接器,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
6412,6412.TW,TWSE,群電,電源/BBU,電源供應器,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
6442,6442.TW,TWSE,光聖,CPO/矽光子,光通訊元件,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
6451,6451.TW,TWSE,訊芯-KY,CPO/矽光子,光通訊封裝,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
6531,6531.TW,TWSE,愛普*,記憶體,記憶體 IP/AI 記憶體,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
6669,6669.TW,TWSE,緯穎,AI伺服器/ODM,AI 伺服器整機,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
8046,8046.TW,TWSE,南電,PCB/載板,ABF 載板,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
8088,8088.TWO,TPEx,品安,記憶體,記憶體模組,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
8358,8358.TWO,TPEx,金居,PCB/載板,銅箔/材料,missing_date_aware_evidence,"dated company filing, dated product/revenue note, dated research note, or archived radar theme definition with source_date <= first snapshot date used",yes,"current theme_map.csv may be used only for research-only replay, not formal top3 backtest",2026-06-08T05:46:44+00:00
