symbol,name,current_theme,missing_field,missing_reason,suggested_source,checked_at
2408,南亞科,記憶體,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
2454,聯發科,ASIC/IP,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
2457,飛宏,電源/BBU,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
2464,盟立,機器人/自動化,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
2497,怡利電,車用電子,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
3006,晶豪科,記憶體,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
3015,全漢,電源/BBU,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
3035,智原,ASIC/IP,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
3037,欣興,PCB/載板,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
3044,健鼎,PCB/載板,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
3081,聯亞,CPO/矽光子,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
3163,波若威,CPO/矽光子,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
3189,景碩,PCB/載板,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
3211,順達,電源/BBU,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
3231,緯創,AI伺服器/ODM,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
3234,光環,CPO/矽光子,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
3260,威剛,記憶體,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
3323,加百裕,電源/BBU,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
3363,上詮,CPO/矽光子,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
3443,創意,ASIC/IP,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
3450,聯鈞,CPO/矽光子,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
3529,力旺,ASIC/IP,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
3552,同致,車用電子,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
3661,世芯-KY,ASIC/IP,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
3665,貿聯-KY,車用電子,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
4576,大銀微系統,機器人/自動化,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
4908,前鼎,CPO/矽光子,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
4931,新盛力,綠能/儲能,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
4958,臻鼎-KY,PCB/載板,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
4977,眾達-KY,CPO/矽光子,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
4979,華星光,CPO/矽光子,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
5274,信驊,ASIC/IP,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
5439,高技,PCB/載板,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
6166,凌華,機器人/自動化,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
6213,聯茂,PCB/載板,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
6274,台燿,PCB/載板,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
6279,胡連,車用電子,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
6412,群電,電源/BBU,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
6442,光聖,CPO/矽光子,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
6451,訊芯-KY,CPO/矽光子,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
6531,愛普*,ASIC/IP,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
6669,緯穎,AI伺服器/ODM,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
6770,力積電,記憶體,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
8046,南電,PCB/載板,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
8088,品安,記憶體,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
8271,宇瞻,記憶體,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
8299,群聯,記憶體,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
8358,金居,PCB/載板,effective_start/source_date/source_url/confidence,current_static_map_only,"dated company filings, product revenue notes, dated research notes, or archived daily radar theme definitions",2026-06-07T11:34:56+00:00
