ticker,market,report_period,market_available_at,announcement_time,after_close_policy,required_core_fields,field_available_in_source_package,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
3008,TWSE,114Q4,,,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",False,False,False,False,False,False,False,True,False
3711,TWSE,115Q1,115/05/12 16:36:40,16:36:40,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
3711,TWSE,114Q4,115/03/09 16:52:02,16:52:02,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
6669,TWSE,115Q1,,,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",False,False,False,False,False,False,False,True,False
6669,TWSE,114Q4,,,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",False,False,False,False,False,False,False,True,False
6488,TPEx,115Q1,115/05/05 15:11:12,15:11:12,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
6488,TPEx,114Q4,115/03/03 16:05:19,16:05:19,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
8299,TPEx,115Q1,115/05/08 16:31:18,16:31:18,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
8299,TPEx,114Q4,115/03/06 16:33:33,16:33:33,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
5347,TPEx,115Q1,115/05/05 06:38:46,06:38:46,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
5347,TPEx,114Q4,115/02/03 06:48:19,06:48:19,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
6187,TPEx,115Q1,,,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",False,False,False,False,False,False,False,True,False
6187,TPEx,114Q4,,,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",False,False,False,False,False,False,False,True,False
8069,TPEx,115Q1,115/05/08 13:38:22,13:38:22,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
8069,TPEx,114Q4,115/03/06 16:22:27,16:22:27,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
3081,TPEx,115Q1,115/04/22 13:40:46,13:40:46,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
3081,TPEx,114Q4,115/01/28 13:41:28,13:41:28,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
6147,TPEx,115Q1,115/04/30 14:16:23,14:16:23,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
6147,TPEx,114Q4,115/02/26 14:06:08,14:06:08,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
3264,TPEx,115Q1,115/04/30 15:07:29,15:07:29,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
3264,TPEx,114Q4,115/03/06 16:22:04,16:22:04,"if timestamp is after regular market close, eligible date must be next trading day","market_available_at, exchange_calendar, regular_session_close_time, next_trading_day",True,False,False,False,False,False,False,True,False
